aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.1161,0.1414,2.1881,-41.5649,10.0708,87.9517,5.0903,-24.2676,-4.3091
-0.1107,0.2437,2.0945,-38.5742,19.8975,87.0972,5.0903,-24.2676,-4.3091
-0.0864,0.3357,1.9685,-33.4473,44.4336,82.7637,5.0903,-24.2676,-4.3091
-0.0574,0.4296,1.7200,-26.3672,43.4570,79.5898,4.7974,-25.4150,-4.4800
-0.0454,0.4767,1.6085,-26.6113,48.9502,76.0498,4.7974,-25.4150,-4.4800
-0.0300,0.5234,1.4723,-23.1323,53.4058,68.7866,4.7974,-25.4150,-4.4800
0.0038,0.5756,1.2455,-14.1602,58.2886,64.9414,4.7974,-25.4150,-4.4800
0.0326,0.5856,1.1602,-10.1929,59.0210,61.1572,5.4077,-26.6357,-4.5288
0.0548,0.6160,1.0984,-7.8125,59.3872,53.4668,5.4077,-26.6357,-4.5288
0.1012,0.6636,1.0074,-9.6436,59.6924,49.2554,5.4077,-26.6357,-4.5288
0.1154,0.6857,0.9398,-10.3149,59.7534,44.9219,5.4077,-26.6357,-4.5288
0.1257,0.6921,0.8462,-9.3384,58.5938,35.7056,5.4443,-26.9043,-3.9795
0.1553,0.6722,0.6860,-7.2021,56.8237,31.0669,5.4443,-26.9043,-3.9795
0.1696,0.6552,0.6211,-5.7373,54.5044,26.4282,5.4443,-26.9043,-3.9795
0.1914,0.6338,0.5674,-3.5400,48.4619,17.8833,5.4443,-26.9043,-3.9795
0.2225,0.5671,0.4752,-1.5869,45.1050,14.4043,5.4443,-26.9043,-3.9795
0.2312,0.5325,0.4314,-0.1831,41.3818,11.4746,6.4453,-27.4048,-4.6631
0.2349,0.5259,0.4081,-4.0894,33.6304,6.3477,6.4453,-27.4048,-4.6631
0.2369,0.5507,0.3833,-5.0049,29.6021,3.4790,6.4453,-27.4048,-4.6631
0.2377,0.5508,0.3624,-4.2114,25.3906,0.6104,6.4453,-27.4048,-4.6631
0.2424,0.5292,0.3413,-2.6245,21.1792,-2.1362,6.3110,-26.7944,-4.3091
0.2479,0.4999,0.3339,0.3052,12.0850,-6.4697,6.3110,-26.7944,-4.3091
0.2550,0.4592,0.3574,0.3052,7.9346,-8.6060,6.3110,-26.7944,-4.3091
0.2612,0.4501,0.3656,-0.4272,4.0894,-10.7422,6.3110,-26.7944,-4.3091
0.2533,0.4536,0.3553,-2.3193,0.6104,-12.6343,6.3110,-26.7944,-4.3091
0.2513,0.4497,0.3403,-2.3193,-5.6152,-17.0288,7.3486,-26.8433,-3.7476
0.2584,0.4266,0.3000,-0.9766,-9.5215,-19.1650,7.3486,-26.8433,-3.7476
0.2625,0.4216,0.2555,-0.2441,-13.5498,-20.9961,7.3486,-26.8433,-3.7476
0.2593,0.4189,0.2002,-0.8545,-18.1274,-22.9492,7.3486,-26.8433,-3.7476
0.2500,0.4202,0.1565,-3.8452,-29.2969,-26.7334,7.3486,-26.8433,-3.7476
0.2330,0.4426,0.1636,-5.0659,-35.7056,-28.3813,6.9946,-26.4038,-4.1626
0.2209,0.4752,0.1964,-5.9814,-42.1753,-30.0293,6.9946,-26.4038,-4.1626
0.1963,0.5131,0.2189,-5.9814,-54.3213,-34.7290,6.9946,-26.4038,-4.1626
0.1508,0.5280,0.3031,-2.3804,-60.4858,-37.7808,6.9946,-26.4038,-4.1626
0.1283,0.5271,0.3622,-0.7324,-65.9180,-41.0767,5.6152,-26.6602,-4.9194
0.1085,0.5062,0.4022,6.1035,-74.8901,-48.0957,5.6152,-26.6602,-4.9194
0.0709,0.4026,0.4230,8.6060,-78.7354,-51.5747,5.6152,-26.6602,-4.9194
0.0631,0.3430,0.4305,8.6060,-82.7026,-54.8706,5.6152,-26.6602,-4.9194
0.0325,0.2877,0.4409,10.8643,-90.9424,-59.4482,5.6152,-26.6602,-4.9194
-0.0472,0.1278,0.6105,11.6577,-95.4590,-61.2183,5.1880,-25.7446,-4.9561
-0.0764,0.1875,0.6056,18.2495,-99.4873,-61.1572,5.1880,-25.7446,-4.9561
-0.0981,0.1246,0.6393,25.4517,-103.1494,-63.3545,5.1880,-25.7446,-4.9561
-0.1450,-0.1279,0.8639,40.5273,-109.8022,-63.6597,5.1880,-25.7446,-4.9561
-0.1864,-0.1332,0.9445,42.3584,-111.0840,-62.8662,3.3813,-24.7314,-5.7861
-0.2118,-0.1733,1.0575,44.0063,-111.3892,-60.8521,3.3813,-24.7314,-5.7861
-0.2368,-0.3242,1.3357,44.3115,-109.6191,-59.5703,3.3813,-24.7314,-5.7861

-0.0945,-0.0616,1.5189,-30.2124,-5.0049,-8.2397,-1.2695,-23.1201,-9.0454
-0.1035,-0.0471,1.5914,-33.2642,-3.1128,-7.3853,-1.8188,-25.6592,-8.0811
-0.1060,-0.0371,1.6664,-32.1655,1.9531,-6.5308,-1.8188,-25.6592,-8.0811
-0.1050,-0.0453,1.7773,-28.9917,6.1035,-5.9814,-1.8188,-25.6592,-8.0811
-0.0959,-0.0701,1.7865,-26.0010,10.9863,-5.6152,-1.8188,-25.6592,-8.0811
-0.1064,-0.1021,1.7462,-26.3062,22.2168,-4.3945,-1.8188,-25.6592,-8.0811
-0.0937,-0.1493,1.6533,-28.1982,27.5879,-3.4790,-0.7812,-26.3550,-7.6660
-0.0889,-0.1615,1.6129,-31.4331,32.4097,-2.6855,-0.7812,-26.3550,-7.6660
-0.0824,-0.1549,1.5814,-40.5884,40.7715,0.1831,-0.7812,-26.3550,-7.6660
-0.0583,-0.0835,1.4915,-44.0674,44.5557,1.4038,-0.7812,-26.3550,-7.6660
-0.0411,-0.0525,1.4403,-46.3257,48.0347,2.4414,0.2441,-27.1606,-6.3354
-0.0319,-0.0258,1.3895,-47.9736,53.7109,3.9673,0.2441,-27.1606,-6.3354
-0.0247,0.0115,1.2560,-45.8374,55.6030,4.5166,0.2441,-27.1606,-6.3354
-0.0077,0.0402,1.1373,-44.2505,56.5796,4.6997,0.2441,-27.1606,-6.3354
-0.0013,0.0226,1.1134,-41.0767,56.2134,5.0659,0.2441,-27.1606,-6.3354
0.0341,-0.0007,1.1021,-33.8745,55.2368,6.2866,1.0132,-27.9175,-5.1025
0.0482,0.0114,1.0753,-32.7148,55.7861,7.6904,1.0132,-27.9175,-5.1025
0.0457,0.0331,1.1005,-30.3345,56.5186,10.6812,1.0132,-27.9175,-5.1025
0.0485,0.0583,1.0745,-24.0479,58.9600,11.5967,1.0132,-27.9175,-5.1025
0.0496,0.0815,1.0437,-22.8271,60.6689,12.3291,1.7456,-28.8086,-4.4556
0.0439,0.1171,1.0039,-25.5737,62.8052,12.2681,1.7456,-28.8086,-4.4556
0.0458,0.1725,0.9186,-29.8462,65.8569,11.7187,1.7456,-28.8086,-4.4556
0.0490,0.1865,0.8904,-30.3345,66.4063,10.8643,1.7456,-28.8086,-4.4556
0.0581,0.1918,0.8389,-27.8931,67.0166,9.5215,1.7456,-28.8086,-4.4556
0.0784,0.1823,0.7283,-22.2168,66.5283,8.9111,2.7954,-28.8696,-4.9072
