aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.0454,0.1254,1.2319,-45.2271,93.2007,14.2822,6.1401,-21.3013,-8.8501
0.0734,0.2494,1.1516,-35.4004,95.2148,10.9863,6.1401,-21.3013,-8.8501
0.0873,0.2714,1.0756,-30.9448,97.1069,7.0801,6.1401,-21.3013,-8.8501
0.0953,0.2885,0.9957,-27.7100,98.5718,3.0518,6.1401,-21.3013,-8.8501
0.0925,0.2988,0.9041,-26.9165,100.0366,-5.0659,6.1401,-21.3013,-7.9346
0.0872,0.2303,0.6965,-25.4517,99.3652,-9.9487,8.3984,-20.9229,-7.9346
0.0929,0.1476,0.5908,-20.2637,97.4121,-14.1602,8.3984,-20.9229,-7.9346
0.1027,0.0601,0.4967,-13.5498,94.5435,-19.1650,8.3984,-20.9229,-7.9346
0.1367,-0.1141,0.3269,-1.0986,86.5479,-20.0195,8.3984,-20.9229,-7.9346
0.1543,-0.1774,0.2556,2.2583,82.2144,-20.2637,10.0586,-19.7021,-6.6650
0.1757,-0.2250,0.2045,5.1880,72.8149,-18.1885,10.0586,-19.7021,-6.6650
0.2249,-0.2380,0.1138,5.0049,68.0542,-16.7236,10.0586,-19.7021,-6.6650
0.2428,-0.2256,0.0658,3.4180,63.2324,-15.3198,10.0586,-19.7021,-6.6650
0.2688,-0.2122,0.0033,-14.1602,52.7344,-13.2446,10.0586,-19.7021,-6.6650
0.2714,-0.1261,-0.1256,-5.6152,46.7529,-12.7563,11.8652,-19.5313,-6.8604
0.2583,-0.0752,-0.1886,-8.3008,40.0391,-12.8784,11.8652,-19.5313,-6.8604
0.2545,-0.0288,-0.2480,-9.8877,23.6206,-15.3809,11.8652,-19.5313,-6.8604
0.2180,0.0502,-0.2832,-9.9487,14.4653,-17.4561,11.8652,-19.5313,-6.8604
0.2094,0.0526,-0.2744,-5.7373,4.8218,-19.8364,12.0483,-18.7744,-5.4565
0.2162,0.0421,-0.2483,0.0610,-4.3335,-24.4751,12.0483,-18.7744,-5.4565
