aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.3829,-0.2200,-0.1444,-1.0986,15.6860,-31.6162,11.3281,-25.0366,-7.7515
0.4091,-0.0718,-0.5002,-5.0049,9.2773,-31.1890,11.3281,-25.0366,-7.7515
0.3988,-0.0834,-0.7333,-8.2397,1.4648,-32.5928,11.3281,-25.0366,-7.7515
0.3986,-0.1632,-1.0826,-4.2725,-18.3716,-35.5835,11.3281,-25.0366,-7.7515
0.3727,-0.4097,-2.2408,-4.2725,-34.6680,-35.6445,11.3281,-25.0366,-7.7515
0.3494,-0.5135,-2.8064,-10.5591,-57.8003,-34.1797,10.6812,-24.6948,-7.0923
0.2622,-0.5339,-3.1583,-38.5132,-122.9248,-26.4282,10.6812,-24.6948,-7.0923
-0.1949,-0.7626,-3.1090,-51.8188,-160.8887,-21.3013,10.6812,-24.6948,-7.0923
-0.5006,-0.9259,-2.4612,-52.7344,-201.1719,-12.3291,10.6812,-24.6948,-7.0923
-0.8154,-0.9785,-1.5048,-31.9824,-265.9912,14.7095,5.8960,-26.0010,-5.0049
-1.3584,-0.8698,1.0604,-18.5547,-285.3394,30.7007,5.8960,-26.0010,-5.0049
-1.4613,-0.4561,2.7418,-13.3057,-291.6260,46.2036,5.8960,-26.0010,-5.0049
-1.4357,0.1102,3.9995,-16.5405,-250.0610,59.5093,5.8960,-26.0010,-5.0049
-1.1002,1.1605,3.9995,-10.6201,-204.1016,53.7720,3.3569,-28.8208,-6.2988
-0.8955,1.3043,3.9995,3.0518,-147.3389,40.2832,3.3569,-28.8208,-6.2988
-0.7029,1.1243,3.9995,33.7524,-28.3813,7.5073,3.3569,-28.8208,-6.2988
-0.4999,0.2620,3.9995,41.1987,19.5313,-1.8921,3.3569,-28.8208,-6.2988
-0.4487,-0.1356,3.9309,42.6025,57.0068,-4.9438,3.3569,-28.8208,-6.2988
-0.3976,-0.4158,2.9106,44.0674,98.6938,2.7466,4.4434,-26.9287,-6.9946
-0.2349,-0.3314,1.0267,42.1143,102.6001,10.7422,4.4434,-26.9287,-6.9946
-0.1487,-0.1283,0.4178,37.0483,96.4966,16.9678,4.4434,-26.9287,-6.9946
-0.0725,0.0637,0.1094,32.4097,83.2520,20.2026,4.4434,-26.9287,-6.9946
-0.0107,0.2238,0.0344,26.3672,50.7813,18.3105,4.4434,-26.9287,-6.9946
0.0692,0.2631,0.2902,23.2544,36.7432,14.4043,5.4565,-25.8057,-7.0312
0.0854,0.2083,0.4817,18.6157,26.1230,10.5591,5.4565,-25.8057,-7.0312
0.0961,0.1609,0.6449,14.2212,18.7988,7.1411,5.4565,-25.8057,-7.0312
0.0978,0.0857,0.7538,5.7373,11.4136,1.7700,5.4565,-25.8057,-7.0312
0.0679,-0.1118,0.9669,1.5259,9.4604,0.6714,5.2002,-25.5249,-7.0068
0.0439,-0.1412,1.0841,-5.4932,9.0942,1.4038,5.2002,-25.5249,-7.0068
0.0151,-0.1481,1.1591,-10.2539,10.3149,4.0283,5.2002,-25.5249,-7.0068
-0.0199,-0.0438,1.1077,-9.3384,14.3433,5.6152,5.2002,-25.5249,-7.0068
-0.0289,0.0229,1.0446,-9.2163,15.8081,6.2256,5.2002,-25.5249,-7.0068
-0.0325,0.0631,1.0259,-9.2163,16.3574,5.9204,5.4687,-25.4761,-6.6040
-0.0249,0.0745,1.0149,-8.0566,16.9678,3.9062,5.4687,-25.4761,-6.6040
-0.0015,0.0254,1.0153,-7.8735,17.2729,2.8076,5.4687,-25.4761,-6.6040
0.0090,-0.0022,1.0037,-7.6294,18.0054,2.1973,5.4687,-25.4761,-6.6040
0.0226,-0.0018,0.9664,-6.7139,18.7378,1.8311,5.4687,-25.4761,-6.6040
0.0497,0.0089,0.8394,-2.8687,18.3716,1.6479,4.9072,-25.7935,-5.9937
0.0619,0.0172,0.8235,-2.9907,17.1509,1.4038,4.9072,-25.7935,-5.9937
0.0668,0.0205,0.8212,-3.2959,15.6860,0.9155,4.9072,-25.7935,-5.9937
0.0714,0.0225,0.7991,-1.7090,12.7563,0.2441,4.9072,-25.7935,-5.9937
0.0718,-0.0173,0.7524,-1.0376,10.6812,-0.2441,6.2988,-25.4639,-6.9092
0.0732,-0.0724,0.7738,-0.2441,8.4839,-0.6714,6.2988,-25.4639,-6.9092
