aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.2462,-0.7991,1.1621,12.8174,-119.4458,-30.5176,10.8398,-0.8667,-5.2124
-0.2422,-0.7625,1.1616,15.8081,-114.0137,-29.3579,10.8398,-0.8667,-5.2124
-0.2537,-0.7289,1.1339,8.1177,-104.6143,-31.9214,10.8398,-0.8667,-5.2124
-0.3049,-0.8453,1.0990,8.0566,-103.0273,-32.4097,8.7036,1.8311,-9.3384
-0.2655,-0.9109,1.1643,22.8882,-103.9429,-22.1558,8.7036,1.8311,-9.3384
-0.2856,-0.9139,1.2319,23.8647,-99.7314,-24.4141,8.7036,1.8311,-9.3384
-0.2863,-0.9951,1.4373,22.7051,-96.5576,-24.7192,8.7036,1.8311,-9.3384
-0.2927,-1.1642,1.4983,30.5176,-92.7734,-23.4985,8.7036,1.8311,-9.3384
-0.2825,-1.2533,1.5880,15.6250,-80.1392,-18.4937,4.8706,3.5034,-10.5713
-0.2546,-1.2705,1.6108,9.7656,-72.8149,-15.4419,4.8706,3.5034,-10.5713
-0.2340,-1.2646,1.5803,7.7515,-65.8569,-12.0239,4.8706,3.5034,-10.5713
-0.2119,-1.1840,1.5569,8.3618,-53.8940,-4.8828,4.8706,3.5034,-10.5713
-0.2113,-0.9911,1.5115,7.6904,-48.3398,-3.2349,2.4658,3.6133,-10.9741
-0.1949,-0.8644,1.4547,7.2632,-42.9688,-1.5259,2.4658,3.6133,-10.9741
-0.1958,-0.7599,1.4205,6.4087,-33.9355,-2.8687,2.4658,3.6133,-10.9741
-0.2006,-0.7428,1.3190,6.5308,-30.2734,-3.4790,2.4658,3.6133,-10.9741
-0.2029,-0.7697,1.2875,7.0190,-27.3438,-4.1504,2.4658,3.6133,-10.9741
-0.1963,-0.8473,1.2919,7.2021,-22.9492,-5.8594,1.4648,2.4902,-9.5703
-0.1779,-0.9742,1.3744,5.6152,-19.6533,-5.4321,1.4648,2.4902,-9.5703
-0.1804,-1.0117,1.3861,4.1504,-15.6250,-3.8452,1.4648,2.4902,-9.5703
